name,prices,sale_tags,url
Asics Solution Speed FF 2 Clay White/Black Men's Shoes,"[134.99, 150.0, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Asics_Solution_Speed_FF_2_Clay_White_Black_Mens_Shoes/descpageMSASICSP-AMSSCWB-EN.html
Mizuno Break Shot 2 Carpet White/Black Unisex Shoes,"[34.89, 80.0, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Mizuno_Break_Shot_2_Carpet_White_Black_Unisex_Shoes/descpageMSMIZUNO-MBSIWBU-EN.html
New Balance 996V4 Clay Red/Green Men's Shoes,"[121.9, 135.0, 0]","[1, '0', '0']",https://www.tenniswarehouse-europe.com/New_Balance_996V4_Clay_Red_Green_Mens_Shoes/descpageMSNBT-NM996RG-EN.html
Babolat Pure Aero Rafa Junior 26 Racket,"[119.95, 0, 0]","[1, '0', '0']",https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Rafa_Junior_26_Racket/descpageRCQBA-BPARA26-EN.html
Babolat Pure Drive 26 Junior Racket,"[79.91, 99.95, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_26_Junior_Racket/descpageRCQBA-BRPJ-EN.html
Babolat Pure Drive 26 Junior Racket Blue/Pink,"[79.91, 99.95, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_26_Junior_Racket_Blue_Pink/descpageRCQBA-BRPJPW-EN.html
Babolat Strike 26 Junior Racket,"[57.91, 64.95, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Strike_26_Junior_Racket_/descpageRCQBA-BRS26J-EN.html
Babolat Pure Aero Junior 26 Racket,"[91.9, 114.95, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Junior_26_Racket/descpageRCQBA-BPARJ26-EN.html
Asics Solution Speed FF 2 White/Black Men's Shoes,"[134.99, 150.0, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Asics_Solution_Speed_FF_2_White_Black_Mens_Shoes/descpageMSASICSP-AMSSFWB-EN.html
Asics Solution Speed FF Indoor White/Peacoat Men's Shoe,"[103.9, 150.0, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Asics_Solution_Speed_FF_Indoor_White_Peacoat_Mens_Shoe/descpageMSASICS-ASSFIWP-EN.html
