ID,Name,Name in Ελληνικά,Type,Attrib. Set Name,SKU,Barcode,Price,Special,Cost,Gross Profit %,Qty,Stock Status,Visibility,Status,Websites
106983,Wilson Pro Staff 97 UL V13 Tennis Racquet-L1,Wilson Pro Staff 97 UL V13 Tennis Racquet-L1,Simple Product,Racquets,WR057410-L1,97512502184,€220.00,€194.90,€107.10,31.86%,6,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
106980,Wilson Pro Staff 97L V13 Tennis Racquet-L3,Wilson Pro Staff 97L V13 Tennis Racquet-L3,Simple Product,Racquets,WR043911-L3,97512464338,€250.00,€214.90,€121.50,29.89%,8,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
106979,Wilson Pro Staff 97L V13 Tennis Racquet-L2,Wilson Pro Staff 97L V13 Tennis Racquet-L2,Simple Product,Racquets,WR043911-L2,97512464321,€250.00,€214.90,€121.50,29.89%,7,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
106972,Wilson Pro Staff 97 V13 Tennis Racquet-L4,Wilson Pro Staff 97 V13 Tennis Racquet-L4,Simple Product,Racquets,WR043811-L4,97512464291,€290.00,€234.90,€140.00,26.10%,3,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
106971,Wilson Pro Staff 97 V13 Tennis Racquet-L3,Wilson Pro Staff 97 V13 Tennis Racquet-L3,Simple Product,Racquets,WR043811-L3,97512464284,€290.00,€234.90,€140.00,26.10%,11,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
106970,Wilson Pro Staff 97 V13 Tennis Racquet-L2,Wilson Pro Staff 97 V13 Tennis Racquet-L2,Simple Product,Racquets,WR043811-L2,97512464215,€290.00,€234.90,€140.00,26.10%,7,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
106968,Wilson Pro Staff RF 97 V13 Autograph Tennis Racquet-L4,Wilson Pro Staff RF 97 V13 Autograph Tennis Racquet-L4,Simple Product,Racquets,WR043711-L4,97512464260,€320.00,€239.00,€150.00,22.18%,6,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
106967,Wilson Pro Staff RF 97 V13 Autograph Tennis Racquet-L3,Wilson Pro Staff RF 97 V13 Autograph Tennis Racquet-L3,Simple Product,Racquets,WR043711-L3,97512464253,€320.00,€239.00,€150.00,22.18%,8,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
106966,Wilson Pro Staff RF 97 V13 Autograph Tennis Racquet-L2,Wilson Pro Staff RF 97 V13 Autograph Tennis Racquet-L2,Simple Product,Racquets,WR043711-L2,97512464246,€320.00,€239.00,€150.00,22.18%,8,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
106137,Wilson Blade 100L V7.0 Tennis Racquet Demo-L2,Wilson Blade 100L V7.0 Tennis Racquet Demo-L2,Simple Product,Racquets,WR014011-Demo-L2,,€210.00,€154.90,€101.70,18.59%,3,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
103540,Wilson Blade 98 (16x19) Roland Garros Tennis Racquet-L2,Ρακέτα Τέννις Wilson Blade 98 (16x19) Roland Garros,Simple Product,Racquets,WR045411-L2,97512431200,€269.00,€199.90,€130.50,19.05%,9,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
102193,Wilson Ultra 100UL V3.0 Tennis Racquet-L3,Wilson Ultra 100UL V3.0 Tennis Racquet-L3,Simple Product,Racquets,WR036610-L3,97512427920,€170.00,€139.90,€85.50,24.22%,7,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
100531,Wilson Ultra 100L V3.0 Tennis Racquet Demo-L2,Wilson Ultra 100L V3.0 Tennis Racquet Demo-L2,Simple Product,Racquets,WR036511-DEMO-L2,,€195.00,€159.90,€99.00,23.23%,3,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
100454,Wilson Ultra 100 V3.0 Tennis Demo Racquet-L3,Wilson Ultra 100 V3.0 Tennis Demo Racquet-L3,Simple Product,Racquets,WR033611-DEMO-L3,,€220.00,€179.90,€73.20,49.55%,5,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
98292,Wilson Ultra 108 V3.0 Tennis Racquet-L3,Wilson Ultra 108 V3.0 Tennis Racquet-L3,Simple Product,Racquets,WR036710-L3,97512428132,€210.00,€168.90,€103.50,24.01%,5,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
98291,Wilson Ultra 108 V3.0 Tennis Racquet-L2,Wilson Ultra 108 V3.0 Tennis Racquet-L2,Simple Product,Racquets,WR036710-L2,97512428125,€210.00,€168.90,€103.50,24.01%,4,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
98289,Wilson Ultra 100UL V3.0 Tennis Racquet-L2,Wilson Ultra 100UL V3.0 Tennis Racquet-L2,Simple Product,Racquets,WR036610-L2,97512427906,€170.00,€139.90,€85.50,24.22%,6,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
98288,Wilson Ultra 100UL V3.0 Tennis Racquet-L1,Wilson Ultra 100UL V3.0 Tennis Racquet-L1,Simple Product,Racquets,WR036610-L1,97512427937,€170.00,€139.90,€85.50,24.22%,5,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
98286,Wilson Ultra 100L V3.0 Tennis Racquet-L2,Wilson Ultra 100L V3.0 Tennis Racquet-L2,Simple Product,Racquets,WR036511-L2,97512424523,€195.00,€159.90,€99.00,23.23%,3,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
98285,Wilson Ultra 100L V3.0 Tennis Racquet-L3,Wilson Ultra 100L V3.0 Tennis Racquet-L3,Simple Product,Racquets,WR036511-L3,97512424462,€195.00,€159.90,€99.00,23.23%,5,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
98284,Wilson Ultra 100L V3.0 Tennis Racquet-L1,Wilson Ultra 100L V3.0 Tennis Racquet-L1,Simple Product,Racquets,WR036511-L1,97512424516,€195.00,€159.90,€99.00,23.23%,3,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
98282,Wilson Ultra 100 V3.0 Tennis Racquet-L2,Wilson Ultra 100 V3.0 Tennis Racquet-L2,Simple Product,Racquets,WR033611-L2,97512421515,€220.00,€179.90,€109.80,24.32%,8,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
98281,Wilson Ultra 100 V3.0 Tennis Racquet-L3,Wilson Ultra 100 V3.0 Tennis Racquet-L3,Simple Product,Racquets,WR033611-L3,97512421508,€220.00,€179.90,€109.80,24.32%,9,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
96572,Wilson Roland Garros Team Tennis Racquet-L3,Wilson Roland Garros Team Tennis Racquet-L3,Simple Product,Racquets,WR030310-L3,97512416078,€140.00,€129.89,€69.30,33.84%,20,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
96571,Wilson Roland Garros Team Tennis Racquet-L2,Wilson Roland Garros Team Tennis Racquet-L2,Simple Product,Racquets,WR030310-L2,97512415989,€140.00,€129.89,€69.30,33.84%,7,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
96543,Wilson Ultra Team 25&quot; Junior Tennis Racquet,Παιδική ρακέτα τένις Wilson Ultra Team 25&quot; Junior,Simple Product,Racquets,WR027410,97512415125,€55.00,€54.90,€27.00,39.02%,11,In Stock,"Catalog, Search",Enabled,"Main Website, webgreek, Romanian Site"
96514,Wilson Blade Feel 21 Junior Tennis Racquet,Παιδική ρακέτα τένις Wilson Blade Feel 21 Junior,Simple Product,Racquets,WR027310,97512414630,€51.00,€49.90,€25.20,37.38%,9,In Stock,"Catalog, Search",Enabled,"Main Website, webgreek, Romanian Site"
96513,Wilson Blade Feel 23 Junior Tennis Racquet,Παιδική ρακέτα τένις Wilson Blade Feel 23&quot; Junior,Simple Product,Racquets,WR027210,97512415095,€51.00,€49.90,€25.20,37.38%,12,In Stock,"Catalog, Search",Enabled,"Main Website, webgreek, Romanian Site"
96512,Wilson Blade Feel 25 Junior Tennis Racquet,Παιδική ρακέτα τένις Wilson Blade Feel 25 Junior,Simple Product,Racquets,WR027110,97512415071,€60.00,€54.90,€28.80,34.95%,10,In Stock,"Catalog, Search",Enabled,"Main Website, webgreek, Romanian Site"
91180,Wilson Roger Federer 19 Junior Tennis Racquet,Παιδική ρακέτα τένις Wilson Roger Federer 19 Junior,Simple Product,Racquets,WR028610,97512415330,€40.00,€39.00,€19.80,37.05%,6,In Stock,"Catalog, Search",Enabled,"Main Website, webgreek, Romanian Site"
90691,Wilson Blade 100UL V7.0 Tennis Racquet (2019)-L3,Ρακέτα Τένις Wilson Blade 100UL V7.0,Simple Product,Racquets,WR014110-L3,97512408882,€200.00,€159.89,€89.60,30.51%,5,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
90690,Wilson Blade 100UL V7.0 Tennis Racquet (2019)-L2,Ρακέτα Τένις Wilson Blade 100UL V7.0,Simple Product,Racquets,WR014110-L2,97512408851,€200.00,€159.89,€89.60,30.51%,4,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
90689,Wilson Blade 100UL V7.0 Tennis Racquet (2019)-L1,Ρακέτα Τένις Wilson Blade 100UL V7.0,Simple Product,Racquets,WR014110-L1,97512408875,€200.00,€159.89,€89.60,30.51%,4,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
90682,Wilson Blade 104 SW V7.0 Autograph Racquet (2019)-L2,Ρακέτα Τένις Wilson Blade SW 104 V7.0 Autograph,Simple Product,Racquets,WR014211-L2,97512408264,€275.00,€179.90,€116.80,19.49%,4,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
90518,Wilson Pro Staff Precision 103 Tennis Racquet-L3,Wilson Pro Staff Precision 103 Tennis Racquet-L3,Simple Product,Racquets,WR019110-L3,97512414722,€90.00,€89.90,€42.30,41.66%,10,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
90517,Wilson Pro Staff Precision 103 Tennis Racquet-L2,Wilson Pro Staff Precision 103 Tennis Racquet-L2,Simple Product,Racquets,WR019110-L2,97512414715,€90.00,€89.90,€42.30,41.66%,7,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
90507,Wilson Blade Feel 105 CVR Tennis Racquet-L3,Wilson Blade Feel 105 CVR Tennis Racquet-L3,Simple Product,Racquets,WR018710-L3,97512414975,€90.00,€83.50,€43.20,35.85%,1,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
90496,Wilson Ultra Power 105 Tennis Racquet-L1,Wilson Ultra Power 105 Tennis Racquet-L1,Simple Product,Racquets,WR018110-L1,97512414357,€88.00,€83.50,€43.20,35.85%,4,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
90477,Wilson Blade 101 L V7.0 Tennis Racquet (2019)-L1,Wilson Blade 101 L V7.0 Tennis Racquet (2019)-L1,Simple Product,Racquets,WR022910-L1,97512408837,€140.00,€109.90,€70.20,20.79%,5,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
90474,Wilson Clash 100 UL Tennis Racquet-L3,Wilson Clash 100 UL Tennis Racquet-L3,Simple Product,Racquets,WR015810-L3,97512384278,€210.00,€169.90,€104.40,23.80%,1,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
90473,Wilson Clash 100 UL Tennis Racquet-L1,Wilson Clash 100 UL Tennis Racquet-L1,Simple Product,Racquets,WR015810-L1,97512384254,€210.00,€169.90,€104.40,23.80%,3,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
90472,Wilson Clash 100 UL Tennis Racquet-L2,Wilson Clash 100 UL Tennis Racquet-L2,Simple Product,Racquets,WR015810-L2,97512384261,€210.00,€169.90,€104.40,23.80%,4,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
90465,Wilson Blade 98 S (16x18) V7.0 Tennis Racquet-L4,Wilson Blade 98 S (16x18) V7.0 Tennis Racquet-L4,Simple Product,Racquets,WR013811-L4,97512407779,€252.00,€184.90,€125.10,16.10%,5,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
90464,Wilson Blade 98 S (16x18) V7.0 Tennis Racquet-L3,Wilson Blade 98 S (16x18) V7.0 Tennis Racquet-L3,Simple Product,Racquets,WR013811-L3,97512408363,€252.00,€184.90,€125.10,16.10%,2,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
89848,Wilson Blade 25&quot; V7.0 Junior Tennis Racquet,Παιδική ρακέτα τένις Wilson Blade 25&quot; V7.0 Junior,Simple Product,Racquets,WR014410,97512408387,€122.00,€104.90,€46.90,44.56%,7,In Stock,"Catalog, Search",Enabled,"Main Website, webgreek, Romanian Site"
87458,Wilson Blade 98 (18x20) V7.0 Tennis DEMO Racquet-L3,Wilson Blade 98 (18x20) V7.0 Tennis DEMO Racquet-L3,Simple Product,Racquets,WR013711-DEMO-L3,,€252.00,€174.90,€83.40,40.87%,2,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
87456,Wilson Blade 98 (16x19) V7.0 Tennis DEMO Racquet-L3,Wilson Blade 98 (16x19) V7.0 Tennis DEMO Racquet-L3,Simple Product,Racquets,WR013611-DEMO-L3,,€252.00,€175.90,€83.40,41.21%,1,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
87361,Wilson Blade 98 (18x20) V7.0 Tennis Racquet-L3,Wilson Blade 98 (18x20) V7.0 Tennis Racquet-L3,Simple Product,Racquets,WR013711-L3,97512408103,€252.00,€174.90,€111.20,21.16%,9,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
87313,Wilson Blade 98 (16x19) V7.0 Tennis Racquet-L4,Wilson Blade 98 (16x19) V7.0 Tennis Racquet-L4,Simple Product,Racquets,WR013611-L4,97512408325,€252.00,€175.90,€111.20,21.61%,3,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
87312,Wilson Blade 98 (16x19) V7.0 Tennis Racquet-L3,Wilson Blade 98 (16x19) V7.0 Tennis Racquet-L3,Simple Product,Racquets,WR013611-L3,97512408318,€252.00,€175.90,€111.20,21.61%,9,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
87311,Wilson Blade 98 (16x19) V7.0 Tennis Racquet-L2,Wilson Blade 98 (16x19) V7.0 Tennis Racquet-L2,Simple Product,Racquets,WR013611-L2,97512407762,€252.00,€175.90,€111.20,21.61%,7,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
