name,prices,sale_tag,url
mizuno break shot 2 carpet white/black unisex shoes,"[34.89, 80.0, 0]",Sale,https://www.tenniswarehouse-europe.com/Mizuno_Break_Shot_2_Carpet_White_Black_Unisex_Shoes/descpageMSMIZUNO-MBSIWBU-EN.html
adidas stycon mia.pulco navy/pink/or men's shoe,"[79.91, 140.0, 0]",Sale,https://www.tenniswarehouse-europe.com/adidas_Stycon_MiaPulco_Navy_Pink_Or_Mens_Shoe/descpageMSADIT-AMSMPNP-EN.html
adidas stycon primegreen hazy sky/yellow men's shoe,"[89.9, 140.0, 0]",Sale,https://www.tenniswarehouse-europe.com/adidas_Stycon_Primegreen_Hazy_Sky_Yellow_Mens_Shoe/descpageMSADIT-AMSPSYW-EN.html
adidas solematch bounce clay black/white men's shoe,"[104.9, 120.0, 0]",Sale,https://www.tenniswarehouse-europe.com/adidas_SoleMatch_Bounce_Clay_Black_White_Mens_Shoe/descpageMSADIT-AMSMCBW-EN.html
adidas solematch bounce white/black/blue men's shoe,"[79.91, 120.0, 0]",Sale,https://www.tenniswarehouse-europe.com/adidas_SoleMatch_Bounce_White_Black_Blue_Mens_Shoe/descpageMSADIT-AMSBWBB-EN.html
babolat nadal junior 25 racquet,"[34.89, 37.5, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Nadal_Junior_25_Racket/descpageRCQBA-BNJ25R-EN.html
babolat b'fly 25 junior racquet,"[21.9, 24.95, 0]",,https://www.tenniswarehouse-europe.com/Babolat_BFly_25_Junior_Racket/descpageRCQBA-BBF25R-EN.html
babolat ballfighter 25 junior racquet,"[19.9, 24.95, 0]",Sale,https://www.tenniswarehouse-europe.com/Babolat_Ballfighter_25_Junior_Racket/descpageRCQBA-BBJ25R-EN.html
babolat drive 24 junior racquet,"[48.91, 54.95, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Drive_24_Junior_Racket_/descpageRCQBA-BRDJ24-EN.html
babolat drive 24 junior racquet pink/white,"[48.91, 54.95, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Drive_24_Junior_Racket_Pink_White/descpageRCQBA-BRDP24-EN.html
diadora speed blushield 5 clay yellow/black men's shoe,"[111.9, 140.0, 0]",,https://www.tenniswarehouse-europe.com/Diadora_Speed_Blushield_5_Clay_Yellow_Black_Mens_Shoe/descpageMSDIAT-DMSB5YB-EN.html
asics court ff 2 novak clay red/white men's shoes,"[161.99, 180.0, 0]",Sale,https://www.tenniswarehouse-europe.com/Asics_Court_FF_2_Novak_Clay_Red_White_Mens_Shoes/descpageMSASICSP-ACFFCCW-EN.html
adidas solematch bounce sky/black/yellow men's shoe,"[89.9, 120.0, 0]",,https://www.tenniswarehouse-europe.com/adidas_SoleMatch_Bounce_Sky_Black_Yellow_Mens_Shoe/descpageMSADIT-AMSBSBY-EN.html
adidas solematch bounce navy/white/orange men's shoe,"[99.89, 120.0, 0]",Sale,https://www.tenniswarehouse-europe.com/adidas_SoleMatch_Bounce_Navy_White_Orange_Mens_Shoe/descpageMSADIT-AMSBNWO-EN.html
adidas defiant generation black/grey men's shoe,"[69.9, 100.0, 0]",Sale,https://www.tenniswarehouse-europe.com/adidas_Defiant_Generation_Black_Grey_Mens_Shoe/descpageMSADIT-AMDGBG-EN.html
